timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699802797137,1501,Sign_in Buyer,200,OK,Secondhand 1-10,text,true,,2034,301,20,20,https://secondhand.binaracademy.org/users/sign_in.json,1500,0,0
1699802797876,833,Get Categories,200,OK,Secondhand 1-18,text,true,,1070,144,20,20,https://secondhand.binaracademy.org/categories.json,833,0,0
1699802797163,1546,Sign_in Buyer,200,OK,Secondhand 1-13,text,true,,2034,301,20,20,https://secondhand.binaracademy.org/users/sign_in.json,1546,0,0
1699802797905,908,Get Categories By Id,200,OK,Secondhand 1-15,text,true,,734,146,20,20,https://secondhand.binaracademy.org/categories/2.json,908,0,0
1699802797385,1428,Get Products,200,OK,Secondhand 1-1,text,true,,13307,389,20,20,https://secondhand.binaracademy.org/products.json,1428,0,0
1699802797876,937,Get Categories,200,OK,Secondhand 1-16,text,true,,1070,144,20,20,https://secondhand.binaracademy.org/categories.json,937,0,0
1699802797661,1275,Get Products,200,OK,Secondhand 1-9,text,true,,13316,389,20,20,https://secondhand.binaracademy.org/products.json,1275,0,0
1699802797876,1154,Sign_in Seller,200,OK,Secondhand 1-20,text,true,,2041,299,20,20,https://secondhand.binaracademy.org/users/sign_in.json,1154,0,0
1699802798076,955,Get Categories By Id,200,OK,Secondhand 1-17,text,true,,734,146,20,20,https://secondhand.binaracademy.org/categories/2.json,955,0,0
1699802797906,1125,Get Products,200,OK,Secondhand 1-12,text,true,,13312,389,20,20,https://secondhand.binaracademy.org/products.json,1125,0,0
1699802797876,1155,Get Products,200,OK,Secondhand 1-3,text,true,,13310,389,20,20,https://secondhand.binaracademy.org/products.json,1155,0,0
1699802798076,1059,Get Categories,200,OK,Secondhand 1-8,text,true,,1070,144,20,20,https://secondhand.binaracademy.org/categories.json,1059,0,0
1699802798283,852,Get ProductsId,200,OK,Secondhand 1-2,text,true,,2359,392,20,20,https://secondhand.binaracademy.org/products/27.json,852,0,0
1699802798076,1059,Get ProductsId,200,OK,Secondhand 1-11,text,true,,2370,392,20,20,https://secondhand.binaracademy.org/products/27.json,1059,0,0
1699802798517,818,Get ProductsId,200,OK,Secondhand 1-7,text,true,,2371,392,20,20,https://secondhand.binaracademy.org/products/27.json,818,0,0
1699802798089,1247,Get Products,200,OK,Secondhand 1-14,text,true,,13312,389,20,20,https://secondhand.binaracademy.org/products.json,1247,0,0
1699802798609,726,Get Categories By Id,200,OK,Secondhand 1-4,text,true,,734,146,20,20,https://secondhand.binaracademy.org/categories/2.json,726,0,0
1699802798637,777,Get Categories,200,OK,Secondhand 1-10,text,true,,1070,144,20,20,https://secondhand.binaracademy.org/categories.json,777,0,0
1699802798708,707,Get Categories By Id,200,OK,Secondhand 1-18,text,true,,734,146,20,20,https://secondhand.binaracademy.org/categories/2.json,707,0,0
1699802798517,899,Get Products,200,OK,Secondhand 1-5,text,true,,13295,389,20,20,https://secondhand.binaracademy.org/products.json,898,0,0
1699802798283,1161,Sign_in Buyer,200,OK,Secondhand 1-19,text,true,,2032,301,20,20,https://secondhand.binaracademy.org/users/sign_in.json,1161,0,0
1699802798709,793,Get Categories,200,OK,Secondhand 1-13,text,true,,1070,144,20,20,https://secondhand.binaracademy.org/categories.json,793,0,0
1699802798813,714,Get Categories By Id,200,OK,Secondhand 1-16,text,true,,734,146,20,20,https://secondhand.binaracademy.org/categories/2.json,714,0,0
1699802798813,898,Get ProductsId,200,OK,Secondhand 1-1,text,true,,2367,392,20,20,https://secondhand.binaracademy.org/products/27.json,898,0,0
1699802798936,775,Get ProductsId,200,OK,Secondhand 1-9,text,true,,2378,392,20,20,https://secondhand.binaracademy.org/products/27.json,775,0,0
1699802799031,680,Get ProductsId,200,OK,Secondhand 1-12,text,true,,2373,392,20,20,https://secondhand.binaracademy.org/products/27.json,680,0,0
